CUST_ID,DTH_INIT_SOL_ID,TRAN_DATE,Post Customer,PART_TRAN_TYPE,TRAN_SUB_TYPE,BU_CODE,BU_NAME,GROUP_CODE,GROUP_NAME,TEAM_CODE,TEAM_NAME,DESK_CODE,DESK_NAME,RM_CODE,RM_NAME,Post TRAN_AMT_VAL,Post TRAN_AMT
340439466,340,1/25/2023 0:00,340439466,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,34075,NRG - VANDEIKYA,30790,NENKER NGUTOR,8600000,"?8,600,000.00"
340439466,340,1/26/2023 0:00,340439466,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,34075,NRG - VANDEIKYA,30790,NENKER NGUTOR,10243000,"?10,243,000.00"
340439466,340,1/27/2023 0:00,340439466,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,34075,NRG - VANDEIKYA,30790,NENKER NGUTOR,9950000,"?9,950,000.00"
340439466,340,1/29/2023 0:00,340439466,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,34075,NRG - VANDEIKYA,30790,NENKER NGUTOR,7400000,"?7,400,000.00"
340439466,340,1/30/2023 0:00,340439466,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,34075,NRG - VANDEIKYA,30790,NENKER NGUTOR,5900000,"?5,900,000.00"
557017050,557,1/28/2023 0:00,557017050,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,55775,NRG - OTUKPO MARKET,21097,"OGBOLE, Mr. SAMUEL ABOJE",5455000,"?5,455,000.00"
627424967,763,1/5/2023 0:00,627424967,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,23519,"ATI, Mr. DAVID DYAKO",8350000,"?8,350,000.00"
222014145,340,12/20/2022 0:00,222014145,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,22275,NRG - KATSINA-ALA,26419,"AKERELE, Mr. MOSES OYEBODE",6609000,"?6,609,000.00"
222014145,340,12/28/2022 0:00,222014145,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,22275,NRG - KATSINA-ALA,26419,"AKERELE, Mr. MOSES OYEBODE",7843500,"?7,843,500.00"
222014145,340,1/10/2023 0:00,222014145,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,22275,NRG - KATSINA-ALA,26419,"AKERELE, Mr. MOSES OYEBODE",6780000,"?6,780,000.00"
340020949,340,1/23/2023 0:00,340020949,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,34075,NRG - VANDEIKYA,27942,JOSEPH ANOINTING PAM,6000000,"?6,000,000.00"
288047201,726,1/4/2023 0:00,288047201,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,28875,NRG - OTURKPO,18922,"OGRA, Mr. EMMANUEL OWOICHO",5376525,"?5,376,525.00"
288022453,627,11/9/2022 0:00,288022453,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,55775,NRG - OTUKPO MARKET,21097,"OGBOLE, Mr. SAMUEL ABOJE",6250000,"?6,250,000.00"
627402462,627,12/26/2022 0:00,627402462,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,23519,"ATI, Mr. DAVID DYAKO",7300000,"?7,300,000.00"
222414993,222,1/25/2023 0:00,222414993,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,22275,NRG - KATSINA-ALA,22600,"OKORIE, Mr. CHIGOZIE EZE",11320000,"?11,320,000.00"
222414993,222,1/28/2023 0:00,222414993,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,22275,NRG - KATSINA-ALA,22600,"OKORIE, Mr. CHIGOZIE EZE",7336400,"?7,336,400.00"
222414993,222,1/30/2023 0:00,222414993,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,22275,NRG - KATSINA-ALA,22600,"OKORIE, Mr. CHIGOZIE EZE",7080000,"?7,080,000.00"
340011695,340,1/29/2023 0:00,340011695,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,34075,NRG - VANDEIKYA,26347,"UMEODIKA, Mrs. NONYE SUZAN",5201000,"?5,201,000.00"
288401375,557,12/23/2022 0:00,288401375,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,55775,NRG - OTUKPO MARKET,18802,"OGOH, Mr. BRIGHT AHULO",6150000,"?6,150,000.00"
288401375,557,1/20/2023 0:00,288401375,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,55775,NRG - OTUKPO MARKET,18802,"OGOH, Mr. BRIGHT AHULO",5700000,"?5,700,000.00"
288401375,557,1/24/2023 0:00,288401375,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,55775,NRG - OTUKPO MARKET,18802,"OGOH, Mr. BRIGHT AHULO",5500000,"?5,500,000.00"
627411035,627,12/5/2022 0:00,627411035,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,23519,"ATI, Mr. DAVID DYAKO",6296530,"?6,296,530.00"
627411035,627,12/12/2022 0:00,627411035,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,23519,"ATI, Mr. DAVID DYAKO",5444475,"?5,444,475.00"
627411035,627,1/9/2023 0:00,627411035,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,23519,"ATI, Mr. DAVID DYAKO",5698530,"?5,698,530.00"
627411035,627,1/9/2023 0:00,627411035,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,23519,"ATI, Mr. DAVID DYAKO",5235820,"?5,235,820.00"
627411035,627,1/16/2023 0:00,627411035,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,23519,"ATI, Mr. DAVID DYAKO",7341845,"?7,341,845.00"
627411035,627,1/23/2023 0:00,627411035,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,23519,"ATI, Mr. DAVID DYAKO",7308240,"?7,308,240.00"
222016433,340,11/23/2022 0:00,222016433,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,22275,NRG - KATSINA-ALA,27942,JOSEPH ANOINTING PAM,5400000,"?5,400,000.00"
222003338,222,12/28/2022 0:00,222003338,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,22275,NRG - KATSINA-ALA,22600,"OKORIE, Mr. CHIGOZIE EZE",5200000,"?5,200,000.00"
627415367,627,12/28/2022 0:00,627415367,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,23519,"ATI, Mr. DAVID DYAKO",6810000,"?6,810,000.00"
222015704,222,12/28/2022 0:00,222015704,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,22275,NRG - KATSINA-ALA,27942,JOSEPH ANOINTING PAM,7000000,"?7,000,000.00"
222015704,222,1/23/2023 0:00,222015704,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,22275,NRG - KATSINA-ALA,27942,JOSEPH ANOINTING PAM,6750000,"?6,750,000.00"
222015704,222,1/25/2023 0:00,222015704,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,22275,NRG - KATSINA-ALA,27942,JOSEPH ANOINTING PAM,7000000,"?7,000,000.00"
