Customer,Count of Customer,Count of Pre Customer,Perc_transac_change,Post TRAN_AMT,Pre TRAN_AMT,Perce_Amnt_change
782405090,17877,20,89285.00%,164643072180.83002,₦231406500.00,71048.85%
167022392,17877,19,93989.47%,164643072180.83002,₦281950500.00,58294.32%
194011558,17877,19,93989.47%,164643072180.83002,₦118485000.00,138856.89%
248003332,17877,19,93989.47%,164643072180.83002,₦156499000.00,105103.91%
250436468,17877,19,93989.47%,164643072180.83002,₦144109470.00,114148.61%
375009170,17877,19,93989.47%,164643072180.83002,₦129793700.00,126749.82%
395408743,17877,19,93989.47%,164643072180.83002,₦133903800.00,122856.24%
568404392,17877,19,93989.47%,164643072180.83002,₦130965000.00,125615.32%
571009017,17877,19,93989.47%,164643072180.83002,₦175729000.00,93591.46%
617006317,17877,19,93989.47%,164643072180.83002,₦95000000.00,173208.50%
617406957,17877,19,93989.47%,164643072180.83002,₦95000000.00,173208.50%
640421204,17877,19,93989.47%,164643072180.83002,₦282393500.00,58202.71%
684000201,17877,19,93989.47%,164643072180.83002,₦139624105.00,117818.80%
150008035,17877,18,99216.67%,164643072180.83002,₦233302000.00,70470.79%
221414282,17877,18,99216.67%,164643072180.83002,₦125254940.00,131346.37%
250414298,17877,18,99216.67%,164643072180.83002,₦224502830.00,73236.75%
324003590,17877,18,99216.67%,164643072180.83002,₦118432000.00,138919.08%
370033818,17877,18,99216.67%,164643072180.83002,₦537394000.00,30537.31%
553430259,17877,18,99216.67%,164643072180.83002,₦182944000.00,89896.43%
632000710,17877,18,99216.67%,164643072180.83002,₦135408000.00,121490.36%
644003140,17877,18,99216.67%,164643072180.83002,₦134325890.00,122469.87%
658404057,17877,18,99216.67%,164643072180.83002,₦101552890.00,162025.44%
658416728,17877,18,99216.67%,164643072180.83002,₦90000000.00,182836.75%
767400725,17877,18,99216.67%,164643072180.83002,₦232384500.00,70749.42%
108025375,17877,17,105058.82%,164643072180.83002,₦102332240.00,160790.71%
130407294,17877,17,105058.82%,164643072180.83002,₦134460000.00,122347.62%
154404552,17877,17,105058.82%,164643072180.83002,₦129977040.00,126570.89%
276035344,17877,17,105058.82%,164643072180.83002,₦107741000.00,152713.76%
312001156,17877,17,105058.82%,164643072180.83002,₦185391500.00,88708.32%
353402047,17877,17,105058.82%,164643072180.83002,₦103178920.00,159470.46%
372024728,17877,17,105058.82%,164643072180.83002,₦85000000.00,193597.73%
375009888,17877,17,105058.82%,164643072180.83002,₦144640500.00,113729.16%
411020806,17877,17,105058.82%,164643072180.83002,₦112928700.00,145693.83%
497411089,17877,17,105058.82%,164643072180.83002,₦418769150.00,39215.95%
577001401,17877,17,105058.82%,164643072180.83002,₦123427500.00,133292.54%
620414467,17877,17,105058.82%,164643072180.83002,₦113418020.00,145064.83%
630406415,17877,17,105058.82%,164643072180.83002,₦159381000.00,103201.57%
697428361,17877,17,105058.82%,164643072180.83002,₦162801005.00,101031.48%
714413311,17877,17,105058.82%,164643072180.83002,₦113268500.00,145256.45%
106030455,17877,16,111631.25%,164643072180.83002,₦151766500.00,108384.46%
